machine_code,cycle_start_time,channel_code,min_stress,max_stress,life,damage,cycle_start_time_5min,sum_payload,count_payload,avg_payload
RTIO_MJ_15H225,2025-05-01 17:10:00,SG01,38.178667,48.066667,21.884423,7.29480779141295e-06,2025-05-01 17:10:00,257.739366,8.0,32.21742075
RTIO_MJ_15H225,2025-05-01 17:15:00,SG01,-2.609333,14.008,0.007003,2.3342793000047e-09,,,,
RTIO_MJ_15H225,2025-05-01 17:20:00,SG01,-4.12,6.042667,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 17:25:00,SG01,27.604,39.689333,14.756971,4.91899031649133e-06,2025-05-01 17:25:00,210.237133,6.0,35.039522166666664
RTIO_MJ_15H225,2025-05-01 17:30:00,SG01,18.54,56.718667,3.3038,1.10126658674499e-06,2025-05-01 17:30:00,60.30161,2.0,30.150805
RTIO_MJ_15H225,2025-05-01 17:35:00,SG01,-6.317333,11.673333,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 17:40:00,SG01,-4.532,7.828,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 17:45:00,SG01,34.470667,51.912,23.330923,7.77697436516054e-06,2025-05-01 17:45:00,251.935713,7.0,35.99081614285714
RTIO_MJ_15H225,2025-05-01 17:50:00,SG01,55.208,43.946667,34.873807,1.16246023336838e-05,2025-05-01 17:50:00,34.215531,1.0,34.215531
RTIO_MJ_15H225,2025-05-01 17:55:00,SG01,28.428,53.422667,9.172533,3.057510887678e-06,2025-05-01 17:55:00,92.022057,3.0,30.674019
RTIO_MJ_15H225,2025-05-01 18:00:00,SG01,30.213333,40.101333,4.731508,1.57716938087616e-06,2025-05-01 18:00:00,73.217768,2.0,36.608884
RTIO_MJ_15H225,2025-05-01 18:05:00,SG01,28.702667,48.066667,12.001177,4.00039249637877e-06,2025-05-01 18:05:00,185.922434,5.0,37.1844868
RTIO_MJ_15H225,2025-05-01 18:10:00,SG01,42.710667,51.5,14.30322,4.767740030609e-06,,,,
RTIO_MJ_15H225,2025-05-01 18:15:00,SG01,-4.532,10.574667,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 18:20:00,SG01,-1.785333,4.806667,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 18:25:00,SG01,0.0,2.197333,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 18:30:00,SG01,0.686667,0.274667,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 18:35:00,SG01,1.510667,-0.686667,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 18:40:00,SG01,27.604,46.556,10.798781,3.59959358444283e-06,2025-05-01 18:40:00,185.817092,5.0,37.1634184
RTIO_MJ_15H225,2025-05-01 18:45:00,SG01,20.462667,51.912,5.485914,1.82863803000602e-06,2025-05-01 18:45:00,70.693874,2.0,35.346937
RTIO_MJ_15H225,2025-05-01 18:50:00,SG01,-12.085333,13.596,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 18:55:00,SG01,-9.338667,12.497333,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 19:00:00,SG01,-6.317333,9.750667,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 19:05:00,SG01,-3.708,6.317333,0.0,0.0,,,,
RTIO_MJ_15H225,2025-05-01 19:10:00,SG01,39.002667,67.430667,24.614476,8.20482548263316e-06,2025-05-01 19:10:00,277.91764,8.0,34.739705
RTIO_MJ_15H225,2025-05-01 19:15:00,SG01,43.534667,66.606667,31.513268,1.05044225027049e-05,2025-05-01 19:15:00,111.319215,4.0,27.82980375
RTIO_MJ_15H225,2025-05-01 19:20:00,SG01,22.66,72.649333,24.034323,8.01144084036795e-06,2025-05-01 19:20:00,226.443237,6.0,37.740539500000004
RTIO_MJ_15H225,2025-05-01 19:25:00,SG01,56.718667,43.946667,24.780943,8.26031442469257e-06,,,,
RTIO_MJ_15H225,2025-05-01 19:30:00,SG01,39.689333,42.436,21.490972,7.16365737688495e-06,2025-05-01 19:30:00,41.632927,2.0,20.8164635
RTIO_MJ_15H225,2025-05-01 19:35:00,SG01,36.668,37.492,6.952084,2.3173612975842e-06,2025-05-01 19:35:00,25.198039,1.0,25.198039
RTIO_MJ_15H225,2025-05-01 19:40:00,SG01,27.192,47.242667,7.879545,2.62651499421296e-06,2025-05-01 19:40:00,129.241395,4.0,32.31034875
RTIO_MJ_15H225,2025-05-01 19:45:00,SG01,24.170667,36.668,12.335677,4.11189219237133e-06,2025-05-01 19:45:00,225.463565,7.0,32.20908071428571
