machine_code,cycle_start_time,cycle_end_time,cycle_time,avg_payload
RTIO_MJ_15H225,1/05/2025 9:43:08,1/05/2025 9:43:21,13,24.381388
RTIO_MJ_15H225,1/05/2025 9:44:24,1/05/2025 9:44:42,18,16.955889
RTIO_MJ_15H225,1/05/2025 11:52:42,1/05/2025 11:52:49,7,39.089007
RTIO_MJ_15H225,1/05/2025 11:53:05,1/05/2025 11:53:12,7,29.973036
RTIO_MJ_15H225,1/05/2025 11:53:28,1/05/2025 11:53:35,7,13.007371
RTIO_MJ_15H225,1/05/2025 11:55:17,1/05/2025 11:55:26,9,29.603006
RTIO_MJ_15H225,1/05/2025 11:57:56,1/05/2025 11:59:07,71,35.12372
RTIO_MJ_15H225,1/05/2025 11:59:30,1/05/2025 11:59:41,11,35.043768
RTIO_MJ_15H225,1/05/2025 12:00:06,1/05/2025 12:00:18,12,38.051183
RTIO_MJ_15H225,1/05/2025 12:00:43,1/05/2025 12:00:54,11,35.96364
RTIO_MJ_15H225,1/05/2025 12:01:17,1/05/2025 12:01:28,11,29.542171
RTIO_MJ_15H225,1/05/2025 12:01:52,1/05/2025 12:02:03,11,33.904155
RTIO_MJ_15H225,1/05/2025 12:02:25,1/05/2025 12:02:37,12,31.142971
RTIO_MJ_15H225,1/05/2025 12:03:01,1/05/2025 12:03:15,14,35.475832
RTIO_MJ_15H225,1/05/2025 12:09:43,1/05/2025 12:11:18,95,33.564995
RTIO_MJ_15H225,1/05/2025 12:11:45,1/05/2025 12:11:57,12,36.522306
RTIO_MJ_15H225,1/05/2025 12:12:18,1/05/2025 12:12:30,12,33.521305
RTIO_MJ_15H225,1/05/2025 12:12:52,1/05/2025 12:13:03,11,35.072174
RTIO_MJ_15H225,1/05/2025 12:13:23,1/05/2025 12:13:34,11,34.979909
RTIO_MJ_15H225,1/05/2025 12:14:00,1/05/2025 12:14:11,11,32.373623
RTIO_MJ_15H225,1/05/2025 12:14:32,1/05/2025 12:14:44,12,34.458595
RTIO_MJ_15H225,1/05/2025 12:15:04,1/05/2025 12:15:17,13,33.217189
RTIO_MJ_15H225,1/05/2025 12:23:48,1/05/2025 12:24:59,71,37.400315
RTIO_MJ_15H225,1/05/2025 12:25:22,1/05/2025 12:25:35,13,34.140343
RTIO_MJ_15H225,1/05/2025 12:25:59,1/05/2025 12:26:10,11,38.687726
RTIO_MJ_15H225,1/05/2025 12:26:32,1/05/2025 12:26:44,12,40.612107
RTIO_MJ_15H225,1/05/2025 12:27:05,1/05/2025 12:27:18,13,38.836834
RTIO_MJ_15H225,1/05/2025 12:27:40,1/05/2025 12:27:54,14,36.797839
RTIO_MJ_15H225,1/05/2025 12:28:14,1/05/2025 12:28:29,15,37.764727
RTIO_MJ_15H225,1/05/2025 12:28:55,1/05/2025 12:30:01,66,17.000293
RTIO_MJ_15H225,1/05/2025 12:36:17,1/05/2025 12:36:37,20,33.181542
RTIO_MJ_15H225,1/05/2025 12:36:59,1/05/2025 12:37:13,14,39.711478
RTIO_MJ_15H225,1/05/2025 12:37:33,1/05/2025 12:37:45,12,36.886669
RTIO_MJ_15H225,1/05/2025 12:38:05,1/05/2025 12:38:18,13,39.662079
RTIO_MJ_15H225,1/05/2025 12:38:39,1/05/2025 12:38:51,12,39.611814
RTIO_MJ_15H225,1/05/2025 12:39:13,1/05/2025 12:39:26,13,37.681722
RTIO_MJ_15H225,1/05/2025 12:39:49,1/05/2025 12:40:01,12,35.427995
RTIO_MJ_15H225,1/05/2025 12:40:33,1/05/2025 12:41:06,33,35.29229
RTIO_MJ_15H225,1/05/2025 12:41:27,1/05/2025 12:41:41,14,39.20788
RTIO_MJ_15H225,1/05/2025 12:42:03,1/05/2025 12:42:18,15,40.028649
RTIO_MJ_15H225,1/05/2025 12:42:38,1/05/2025 12:42:54,16,38.023947
RTIO_MJ_15H225,1/05/2025 12:43:15,1/05/2025 12:43:29,14,38.862088
RTIO_MJ_15H225,1/05/2025 12:43:54,1/05/2025 12:44:07,13,40.757373
RTIO_MJ_15H225,1/05/2025 12:44:38,1/05/2025 12:44:52,14,42.703439
RTIO_MJ_15H225,1/05/2025 12:51:06,1/05/2025 12:52:08,62,39.106091
RTIO_MJ_15H225,1/05/2025 12:52:28,1/05/2025 12:52:43,15,38.877365
RTIO_MJ_15H225,1/05/2025 12:53:05,1/05/2025 12:53:18,13,39.519195
RTIO_MJ_15H225,1/05/2025 12:53:38,1/05/2025 12:53:56,18,41.391776
RTIO_MJ_15H225,1/05/2025 12:54:19,1/05/2025 12:54:36,17,34.171136
RTIO_MJ_15H225,1/05/2025 12:54:56,1/05/2025 12:55:14,18,42.696819
RTIO_MJ_15H225,1/05/2025 12:55:37,1/05/2025 12:55:52,15,38.232717
RTIO_MJ_15H225,1/05/2025 13:01:34,1/05/2025 13:01:55,21,37.701318
RTIO_MJ_15H225,1/05/2025 13:02:16,1/05/2025 13:02:32,16,41.702139
RTIO_MJ_15H225,1/05/2025 13:02:50,1/05/2025 13:03:08,18,39.819824
RTIO_MJ_15H225,1/05/2025 13:03:25,1/05/2025 13:03:41,16,37.098912
RTIO_MJ_15H225,1/05/2025 13:04:10,1/05/2025 13:04:22,12,38.978148
RTIO_MJ_15H225,1/05/2025 13:04:45,1/05/2025 13:04:59,14,39.763012
RTIO_MJ_15H225,1/05/2025 13:05:25,1/05/2025 13:05:40,15,39.359729
RTIO_MJ_15H225,1/05/2025 13:14:24,1/05/2025 13:14:36,12,41.778715
RTIO_MJ_15H225,1/05/2025 13:15:25,1/05/2025 13:15:58,33,36.785498
RTIO_MJ_15H225,1/05/2025 13:16:16,1/05/2025 13:16:22,6,18.385913
